Date,Forecast_INR_USD,Lower_Bound_80pct,Upper_Bound_80pct,Bear_Scenario,Bull_Scenario
29 May 2026,94.3142,93.6949,94.9486,98.0868,89.5985
01 Jun 2026,94.4613,93.858,95.1114,98.2398,89.7383
02 Jun 2026,94.4257,93.8076,95.077,98.2027,89.7044
03 Jun 2026,94.3841,93.7442,95.0534,98.1595,89.6649
04 Jun 2026,94.3717,93.7017,95.0067,98.1465,89.6531
05 Jun 2026,94.3962,93.7321,95.0809,98.1721,89.6764
08 Jun 2026,94.4965,93.8546,95.22,98.2764,89.7717
09 Jun 2026,94.5102,93.7702,95.2797,98.2906,89.7847
10 Jun 2026,94.528,93.7917,95.2914,98.3091,89.8016
11 Jun 2026,94.5508,93.7769,95.2782,98.3328,89.8232
12 Jun 2026,94.5688,93.7642,95.3894,98.3515,89.8403
15 Jun 2026,94.575,93.7754,95.3287,98.358,89.8462
16 Jun 2026,94.5889,93.7365,95.4954,98.3725,89.8595
17 Jun 2026,94.6078,93.8017,95.4834,98.3921,89.8774
18 Jun 2026,94.6192,93.7616,95.4937,98.404,89.8882
19 Jun 2026,94.6206,93.7872,95.4668,98.4054,89.8896
22 Jun 2026,94.7023,93.7815,95.6623,98.4903,89.9671
23 Jun 2026,94.7549,93.8458,95.7034,98.545,90.0171
24 Jun 2026,94.7788,93.794,95.7647,98.57,90.0399
25 Jun 2026,94.7618,93.7714,95.838,98.5523,90.0237
26 Jun 2026,94.7251,93.7323,95.8181,98.5141,89.9888
29 Jun 2026,94.8283,93.7804,95.9297,98.6214,90.0869
30 Jun 2026,94.9114,93.8113,96.0272,98.7078,90.1658
01 Jul 2026,94.9544,93.8108,96.149,98.7526,90.2067
02 Jul 2026,94.9458,93.8006,96.2057,98.7437,90.1986
03 Jul 2026,94.9116,93.7233,96.133,98.7081,90.166
06 Jul 2026,94.9599,93.7097,96.2324,98.7583,90.2119
07 Jul 2026,95.0148,93.8149,96.2775,98.8154,90.2641
08 Jul 2026,95.0567,93.8132,96.4488,98.859,90.3039
09 Jul 2026,95.086,93.8239,96.4196,98.8895,90.3317
10 Jul 2026,95.1149,93.7287,96.5214,98.9195,90.3592
13 Jul 2026,95.2156,93.8641,96.726,99.0243,90.4549
14 Jul 2026,95.2324,93.6707,96.7453,99.0417,90.4708
15 Jul 2026,95.2479,93.7474,96.8297,99.0578,90.4855
16 Jul 2026,95.2736,93.8868,96.9006,99.0845,90.5099
17 Jul 2026,95.3097,93.8333,96.8474,99.1221,90.5442
20 Jul 2026,95.3911,93.8757,97.0518,99.2068,90.6216
21 Jul 2026,95.4259,93.8234,97.1718,99.243,90.6546
22 Jul 2026,95.4873,93.8259,97.1918,99.3068,90.713
23 Jul 2026,95.565,93.9521,97.2649,99.3877,90.7868
24 Jul 2026,95.6294,93.9927,97.5175,99.4546,90.8479
27 Jul 2026,95.6384,93.9079,97.4472,99.464,90.8565
28 Jul 2026,95.6713,93.8645,97.5394,99.4982,90.8878
29 Jul 2026,95.7573,94.0296,97.7105,99.5876,90.9695
30 Jul 2026,95.8687,94.0031,97.8441,99.7035,91.0753
31 Jul 2026,95.9584,94.1538,98.0127,99.7967,91.1605
03 Aug 2026,95.9781,94.1552,97.9733,99.8172,91.1792
04 Aug 2026,95.9949,94.1041,98.0938,99.8347,91.1952
05 Aug 2026,96.0486,94.0521,98.1409,99.8905,91.2461
06 Aug 2026,96.1196,94.1231,98.41,99.9644,91.3136
07 Aug 2026,96.1831,94.1853,98.4615,100.0304,91.3739
10 Aug 2026,96.3059,94.131,98.6538,100.1581,91.4906
11 Aug 2026,96.3486,94.1769,98.6233,100.2025,91.5311
12 Aug 2026,96.3844,94.2373,98.7426,100.2398,91.5652
13 Aug 2026,96.4058,94.1232,98.7767,100.262,91.5855
14 Aug 2026,96.4171,94.1628,98.9348,100.2738,91.5962
17 Aug 2026,96.4803,94.2212,98.959,100.3396,91.6563
18 Aug 2026,96.4969,94.1503,99.0579,100.3568,91.6721
19 Aug 2026,96.5012,94.1471,99.0959,100.3612,91.6761
20 Aug 2026,96.507,94.0684,99.1035,100.3672,91.6816
21 Aug 2026,96.5327,94.0933,99.184,100.394,91.7061
24 Aug 2026,96.6475,94.2551,99.3875,100.5134,91.8151
25 Aug 2026,96.6222,94.1028,99.4797,100.487,91.7911
26 Aug 2026,96.5753,93.8348,99.2955,100.4383,91.7466
27 Aug 2026,96.5496,94.0283,99.4269,100.4116,91.7222
28 Aug 2026,96.5752,93.8183,99.3566,100.4382,91.7465
31 Aug 2026,96.7427,94.1081,99.685,100.6124,91.9056
01 Sep 2026,96.7182,94.0345,99.6989,100.587,91.8823
02 Sep 2026,96.6672,93.9073,99.7323,100.5339,91.8338
03 Sep 2026,96.6307,93.856,99.6845,100.4959,91.7992
04 Sep 2026,96.6326,93.7321,99.733,100.4979,91.801
07 Sep 2026,96.7304,93.8195,99.9238,100.5996,91.8938
08 Sep 2026,96.7437,93.7893,100.0115,100.6135,91.9065
09 Sep 2026,96.7572,93.8249,100.0031,100.6274,91.9193
10 Sep 2026,96.7781,93.76,100.0371,100.6492,91.9392
11 Sep 2026,96.8009,93.6189,100.1219,100.673,91.9609
14 Sep 2026,96.8221,93.6459,100.3146,100.695,91.981
15 Sep 2026,96.8364,93.6467,100.3373,100.7099,91.9946
16 Sep 2026,96.8621,93.6041,100.3662,100.7366,92.019
17 Sep 2026,96.8877,93.6342,100.4382,100.7632,92.0433
18 Sep 2026,96.9036,93.5651,100.7124,100.7798,92.0585
21 Sep 2026,96.996,93.5243,100.6712,100.8758,92.1462
22 Sep 2026,97.0665,93.7296,100.9281,100.9491,92.2132
23 Sep 2026,97.1233,93.6299,100.9079,101.0083,92.2672
24 Sep 2026,97.1408,93.6174,101.1679,101.0264,92.2837
25 Sep 2026,97.1228,93.4777,100.9634,101.0077,92.2666
28 Sep 2026,97.2037,93.6436,101.192,101.0919,92.3435
29 Sep 2026,97.3044,93.5397,101.2682,101.1965,92.4391
30 Sep 2026,97.3818,93.598,101.4605,101.277,92.5127
01 Oct 2026,97.4051,93.5492,101.4806,101.3013,92.5349
02 Oct 2026,97.3829,93.5412,101.5495,101.2782,92.5137
05 Oct 2026,97.385,93.4543,101.6331,101.2804,92.5158
06 Oct 2026,97.4355,93.5294,101.6259,101.333,92.5638
07 Oct 2026,97.4772,93.5114,101.7324,101.3763,92.6033
08 Oct 2026,97.5003,93.3462,101.8316,101.4003,92.6253
09 Oct 2026,97.5133,93.3197,102.0952,101.4139,92.6377
12 Oct 2026,97.5567,93.3369,102.1554,101.4589,92.6788
13 Oct 2026,97.5527,93.2684,102.1432,101.4548,92.6751
14 Oct 2026,97.539,93.2527,102.0582,101.4405,92.662
15 Oct 2026,97.5285,93.1749,102.2568,101.4296,92.652
16 Oct 2026,97.5285,93.0384,102.2087,101.4296,92.652
19 Oct 2026,97.5134,93.0565,102.1808,101.4139,92.6377
20 Oct 2026,97.5016,92.9788,102.2321,101.4017,92.6265
21 Oct 2026,97.5121,93.0236,102.4164,101.4126,92.6365
22 Oct 2026,97.5473,92.7824,102.5295,101.4492,92.67
23 Oct 2026,97.5851,92.7762,102.5407,101.4885,92.7059
26 Oct 2026,97.5071,92.8555,102.3922,101.4074,92.6318
27 Oct 2026,97.4771,92.7102,102.4968,101.3762,92.6033
28 Oct 2026,97.5007,92.7277,102.6281,101.4008,92.6257
29 Oct 2026,97.5695,92.4332,102.7005,101.4723,92.691
30 Oct 2026,97.6409,92.7949,102.8783,101.5465,92.7588
02 Nov 2026,97.5976,92.4779,102.9872,101.5015,92.7177
03 Nov 2026,97.5623,92.4317,102.8202,101.4648,92.6842
04 Nov 2026,97.5657,92.2345,102.8725,101.4683,92.6874
05 Nov 2026,97.6002,92.3124,103.1189,101.5042,92.7201
06 Nov 2026,97.6398,92.324,103.1943,101.5454,92.7578
09 Nov 2026,97.6871,92.2426,103.1391,101.5945,92.8027
10 Nov 2026,97.7037,92.3571,103.4882,101.6119,92.8186
11 Nov 2026,97.7211,92.2324,103.4491,101.63,92.8351
12 Nov 2026,97.7285,92.1766,103.3537,101.6377,92.8421
13 Nov 2026,97.7241,92.1277,103.6403,101.6331,92.8379
16 Nov 2026,97.7389,92.05,103.6446,101.6485,92.852
17 Nov 2026,97.7547,92.0487,103.6277,101.6649,92.8669
18 Nov 2026,97.7609,92.0267,103.7517,101.6713,92.8728
19 Nov 2026,97.7637,91.832,103.7886,101.6743,92.8756
20 Nov 2026,97.7826,91.6188,103.9513,101.6939,92.8934
23 Nov 2026,97.9526,91.9282,104.1505,101.8707,93.055
24 Nov 2026,97.9706,91.8844,104.145,101.8894,93.072
25 Nov 2026,97.9555,91.672,104.2846,101.8738,93.0578
26 Nov 2026,97.9439,91.8016,104.3715,101.8616,93.0467
27 Nov 2026,97.9771,91.7362,104.4481,101.8962,93.0783
30 Nov 2026,98.287,91.9397,104.9622,102.2185,93.3727
01 Dec 2026,98.3355,91.7322,105.0859,102.2689,93.4187
02 Dec 2026,98.3411,91.8387,105.1667,102.2748,93.4241
03 Dec 2026,98.3422,91.6929,105.0112,102.2759,93.4251
04 Dec 2026,98.3746,91.7826,105.1247,102.3096,93.4559
07 Dec 2026,98.6199,91.8138,105.4845,102.5647,93.6889
08 Dec 2026,98.6853,91.8327,105.5353,102.6328,93.7511
09 Dec 2026,98.7411,91.7815,105.7196,102.6907,93.8041
10 Dec 2026,98.7988,91.6526,105.7865,102.7507,93.8588
11 Dec 2026,98.8586,91.7227,106.0029,102.813,93.9157
14 Dec 2026,98.9679,91.8516,106.1793,102.9266,94.0195
15 Dec 2026,98.9912,91.9496,106.219,102.9508,94.0416
16 Dec 2026,99.022,91.6542,106.4137,102.9829,94.0709
17 Dec 2026,99.0536,91.5767,106.3039,103.0157,94.1009
18 Dec 2026,99.0729,91.5843,106.4884,103.0359,94.1193
21 Dec 2026,99.1035,91.5131,106.6245,103.0676,94.1483
22 Dec 2026,99.147,91.4871,106.814,103.1129,94.1897
23 Dec 2026,99.1894,91.4439,106.8576,103.157,94.2299
24 Dec 2026,99.1987,91.6906,106.8528,103.1666,94.2388
25 Dec 2026,99.1622,91.2891,106.9815,103.1287,94.2041
28 Dec 2026,99.0792,91.1374,106.7725,103.0424,94.1253
29 Dec 2026,99.1383,91.2582,106.8784,103.1038,94.1814
30 Dec 2026,99.1993,91.0472,107.1724,103.1672,94.2393
31 Dec 2026,99.2181,90.9744,107.0657,103.1868,94.2572
01 Jan 2027,99.1832,90.9566,107.2106,103.1505,94.224
04 Jan 2027,99.0729,90.8706,107.2591,103.0358,94.1193
05 Jan 2027,99.1025,90.755,107.2698,103.0666,94.1474
06 Jan 2027,99.1396,90.7251,107.5195,103.1051,94.1826
07 Jan 2027,99.1647,90.6786,107.5144,103.1312,94.2064
08 Jan 2027,99.1783,90.8308,107.4466,103.1455,94.2194
11 Jan 2027,99.2442,90.7144,107.814,103.214,94.282
12 Jan 2027,99.2631,90.6659,107.7993,103.2336,94.2999
13 Jan 2027,99.2716,90.3218,107.8859,103.2425,94.308
14 Jan 2027,99.28,90.411,107.933,103.2512,94.316
15 Jan 2027,99.3,90.4945,108.1763,103.272,94.335
18 Jan 2027,99.3837,90.4784,108.1827,103.359,94.4145
19 Jan 2027,99.3998,90.4409,108.3982,103.3758,94.4298
20 Jan 2027,99.4301,90.3025,108.4585,103.4074,94.4586
21 Jan 2027,99.4877,90.2758,108.4881,103.4672,94.5134
22 Jan 2027,99.5617,90.2334,108.7305,103.5441,94.5836
25 Jan 2027,99.6181,90.2696,108.6653,103.6028,94.6372
26 Jan 2027,99.5977,90.0758,108.8563,103.5816,94.6178
27 Jan 2027,99.6187,90.2186,108.9273,103.6035,94.6378
28 Jan 2027,99.6941,90.137,109.0757,103.6819,94.7094
29 Jan 2027,99.7948,90.2216,109.2262,103.7866,94.8051
01 Feb 2027,99.8686,90.1573,109.4782,103.8633,94.8751
02 Feb 2027,99.8368,89.9643,109.4788,103.8302,94.8449
03 Feb 2027,99.8351,90.0764,109.6873,103.8285,94.8433
04 Feb 2027,99.8719,89.9422,109.7315,103.8668,94.8783
05 Feb 2027,99.9275,89.7031,109.7416,103.9246,94.9311
08 Feb 2027,100.0301,89.812,110.0477,104.0313,95.0286
09 Feb 2027,100.0575,89.8792,110.1091,104.0598,95.0547
10 Feb 2027,100.0902,89.8707,110.1864,104.0939,95.0857
11 Feb 2027,100.1182,89.7142,110.2592,104.1229,95.1123
12 Feb 2027,100.1335,89.6643,110.4177,104.1389,95.1268
15 Feb 2027,100.1809,89.5978,110.5254,104.1881,95.1718
16 Feb 2027,100.2136,89.1139,110.7078,104.2222,95.2029
17 Feb 2027,100.2397,89.3624,110.6049,104.2493,95.2277
18 Feb 2027,100.2563,89.4263,110.757,104.2665,95.2435
19 Feb 2027,100.2779,89.1318,110.9714,104.289,95.264
22 Feb 2027,100.4719,89.6182,111.0676,104.4908,95.4483
23 Feb 2027,100.5184,89.2795,111.3145,104.5392,95.4925
24 Feb 2027,100.5223,89.3292,111.1787,104.5431,95.4961
25 Feb 2027,100.5059,89.305,111.3218,104.5261,95.4806
26 Feb 2027,100.5136,89.1414,111.5625,104.5342,95.4879
01 Mar 2027,100.798,89.2159,111.8351,104.83,95.7581
02 Mar 2027,100.8671,89.1727,112.1397,104.9018,95.8238
03 Mar 2027,100.881,89.235,112.3401,104.9162,95.8369
04 Mar 2027,100.8669,89.2187,112.3123,104.9015,95.8235
05 Mar 2027,100.8675,89.148,112.2651,104.9022,95.8241
08 Mar 2027,101.0555,89.3947,112.5277,105.0977,96.0027
09 Mar 2027,101.1166,89.1836,112.7353,105.1612,96.0607
10 Mar 2027,101.1628,89.2489,112.8462,105.2093,96.1046
11 Mar 2027,101.207,89.2496,112.9969,105.2553,96.1467
12 Mar 2027,101.2569,89.1719,112.9808,105.3072,96.1941
15 Mar 2027,101.3694,89.0387,113.5128,105.4242,96.301
16 Mar 2027,101.3911,89.1984,113.4789,105.4468,96.3216
17 Mar 2027,101.4219,89.1524,113.6134,105.4788,96.3508
18 Mar 2027,101.4621,89.1773,113.4164,105.5206,96.389
19 Mar 2027,101.4998,89.0894,113.8178,105.5598,96.4248
22 Mar 2027,101.5755,89.0448,114.0618,105.6385,96.4967
23 Mar 2027,101.6337,88.9407,114.283,105.6991,96.552
24 Mar 2027,101.7075,89.0798,114.1818,105.7758,96.6221
25 Mar 2027,101.7651,89.0884,114.3261,105.8357,96.6768
26 Mar 2027,101.7798,88.8923,114.5059,105.851,96.6908
29 Mar 2027,101.7469,88.8905,114.5754,105.8167,96.6595
30 Mar 2027,101.8173,88.8912,114.8247,105.89,96.7265
31 Mar 2027,101.9126,89.0475,114.8251,105.9892,96.817
01 Apr 2027,101.9828,88.8296,115.0328,106.0621,96.8837
02 Apr 2027,101.9957,88.6466,115.0331,106.0755,96.8959
05 Apr 2027,101.9012,88.6167,115.0025,105.9772,96.8061
06 Apr 2027,101.9236,88.2903,115.212,106.0006,96.8275
07 Apr 2027,101.9632,88.5853,115.3943,106.0418,96.8651
08 Apr 2027,101.9936,88.4667,115.4147,106.0734,96.8939
09 Apr 2027,102.0048,88.4051,115.4492,106.085,96.9046
12 Apr 2027,102.0166,88.4369,115.8111,106.0973,96.9158
13 Apr 2027,102.0173,88.3874,115.7989,106.098,96.9165
14 Apr 2027,102.0038,88.1264,115.8414,106.084,96.9036
15 Apr 2027,101.9813,88.1041,115.7787,106.0606,96.8823
16 Apr 2027,101.9636,87.9153,115.9405,106.0422,96.8655
19 Apr 2027,101.9541,87.7988,116.0718,106.0323,96.8564
20 Apr 2027,101.9394,87.5316,116.0167,106.017,96.8424
21 Apr 2027,101.9305,87.5468,115.9947,106.0077,96.834
22 Apr 2027,101.9473,87.548,116.2999,106.0252,96.85
23 Apr 2027,101.9928,87.474,116.2348,106.0725,96.8932
26 Apr 2027,102.0494,87.5753,116.4202,106.1314,96.9469
27 Apr 2027,102.014,87.2247,116.4454,106.0945,96.9133
28 Apr 2027,102.0059,87.2127,116.5937,106.0861,96.9056
29 Apr 2027,102.0568,87.0869,116.7184,106.139,96.9539
30 Apr 2027,102.1577,87.0418,116.541,106.244,97.0498
03 May 2027,102.3422,87.4284,117.293,106.4359,97.2251
04 May 2027,102.3287,87.3185,116.8996,106.4219,97.2123
05 May 2027,102.3324,87.127,116.9337,106.4257,97.2158
06 May 2027,102.3779,87.1917,117.3844,106.473,97.259
07 May 2027,102.4569,87.2246,117.6281,106.5552,97.3341
10 May 2027,102.6677,87.3956,117.7045,106.7745,97.5344
11 May 2027,102.7212,87.0886,117.8764,106.8301,97.5852
12 May 2027,102.78,87.061,118.0815,106.8912,97.641
13 May 2027,102.8377,86.9606,118.1254,106.9512,97.6958
14 May 2027,102.8827,87.215,118.2585,106.998,97.7385
17 May 2027,102.9699,86.8355,118.555,107.0887,97.8214
18 May 2027,103.0099,86.9681,118.6618,107.1303,97.8594
19 May 2027,103.0453,87.0324,118.5461,107.1671,97.893
20 May 2027,103.0659,86.7335,118.7238,107.1885,97.9126
21 May 2027,103.0781,86.831,118.8874,107.2012,97.9242
24 May 2027,103.2137,86.8545,119.1107,107.3423,98.053
25 May 2027,103.2595,86.9027,119.2884,107.3899,98.0965
26 May 2027,103.261,87.0395,119.4892,107.3915,98.098
27 May 2027,103.2231,86.6769,119.2304,107.352,98.0619
28 May 2027,103.1838,86.7126,119.3619,107.3111,98.0246
31 May 2027,103.3316,86.6659,119.6111,107.4649,98.165
01 Jun 2027,103.3932,86.5195,119.7372,107.5289,98.2235
02 Jun 2027,103.3986,86.6592,119.76,107.5345,98.2286
03 Jun 2027,103.357,86.4748,119.8533,107.4913,98.1892
04 Jun 2027,103.3092,86.2039,119.8493,107.4416,98.1438
07 Jun 2027,103.363,86.3809,119.9452,107.4975,98.1948
08 Jun 2027,103.4011,86.5022,120.0836,107.5371,98.231
09 Jun 2027,103.4222,86.507,120.1971,107.5591,98.2511
10 Jun 2027,103.4353,86.2392,120.3682,107.5727,98.2635
11 Jun 2027,103.453,86.1906,120.4868,107.5911,98.2804
14 Jun 2027,103.4986,85.9306,120.6001,107.6385,98.3236
15 Jun 2027,103.4944,86.1594,121.0404,107.6342,98.3197
16 Jun 2027,103.4953,85.8772,121.0656,107.6351,98.3205
17 Jun 2027,103.5085,85.7965,120.7121,107.6489,98.3331
18 Jun 2027,103.5272,85.5015,120.8502,107.6682,98.3508
21 Jun 2027,103.5402,85.5822,121.1628,107.6819,98.3632
22 Jun 2027,103.567,85.6527,121.1645,107.7097,98.3886
23 Jun 2027,103.6199,85.5581,121.3917,107.7647,98.4389
24 Jun 2027,103.6752,85.5362,121.5946,107.8223,98.4915
25 Jun 2027,103.6993,85.3865,121.5775,107.8473,98.5143
28 Jun 2027,103.618,85.3158,121.7219,107.7627,98.4371
29 Jun 2027,103.6565,85.1303,121.8392,107.8028,98.4737
30 Jun 2027,103.7427,85.2304,121.903,107.8924,98.5556
01 Jul 2027,103.8316,85.2928,122.3481,107.9849,98.6401
02 Jul 2027,103.8768,85.087,122.0668,108.0318,98.6829
05 Jul 2027,103.8033,84.8883,122.264,107.9554,98.6131
06 Jul 2027,103.8219,84.9847,122.3719,107.9748,98.6308
07 Jul 2027,103.8742,84.8864,122.3974,108.0292,98.6805
08 Jul 2027,103.9328,84.6633,122.5798,108.0901,98.7362
09 Jul 2027,103.9772,84.5246,122.8534,108.1363,98.7783
12 Jul 2027,104.0759,84.5595,122.6269,108.2389,98.8721
13 Jul 2027,104.1151,84.7339,122.9748,108.2797,98.9093
14 Jul 2027,104.1442,84.6318,123.1178,108.31,98.937
15 Jul 2027,104.1612,84.3021,122.9464,108.3277,98.9532
16 Jul 2027,104.1768,84.3487,123.0249,108.3439,98.968
19 Jul 2027,104.2789,84.4087,123.1113,108.45,99.0649
20 Jul 2027,104.3049,84.3592,123.1861,108.4771,99.0897
21 Jul 2027,104.3261,84.1844,123.4719,108.4992,99.1098
22 Jul 2027,104.3626,84.0506,123.5083,108.5371,99.1445
23 Jul 2027,104.428,84.0514,124.0046,108.6051,99.2066
26 Jul 2027,104.6058,84.3546,123.9969,108.7901,99.3756
27 Jul 2027,104.5943,84.2233,123.9641,108.778,99.3646
28 Jul 2027,104.5834,83.8426,124.2299,108.7667,99.3542
29 Jul 2027,104.6171,83.8408,124.303,108.8018,99.3863
30 Jul 2027,104.7088,83.806,124.4428,108.8972,99.4734
02 Aug 2027,104.9624,83.9698,124.7949,109.1609,99.7143
03 Aug 2027,104.9533,83.7946,125.0229,109.1515,99.7057
04 Aug 2027,104.9373,84.0361,124.7878,109.1348,99.6905
05 Aug 2027,104.9529,83.8306,124.9204,109.151,99.7053
06 Aug 2027,105.0086,83.5366,125.1912,109.209,99.7582
09 Aug 2027,105.197,83.7984,125.1833,109.4048,99.9371
10 Aug 2027,105.2343,83.8052,125.3203,109.4436,99.9726
11 Aug 2027,105.2742,83.7992,125.6744,109.4852,100.0105
12 Aug 2027,105.3174,83.6091,126.0707,109.5301,100.0516
13 Aug 2027,105.3532,83.4797,125.9384,109.5673,100.0855
16 Aug 2027,105.3933,83.3893,126.0715,109.609,100.1236
17 Aug 2027,105.415,83.1715,126.3744,109.6316,100.1443
18 Aug 2027,105.4399,83.3041,126.434,109.6575,100.1679
19 Aug 2027,105.4543,83.1297,126.4469,109.6725,100.1816
20 Aug 2027,105.4552,82.9955,126.9517,109.6734,100.1825
23 Aug 2027,105.5313,82.924,126.9247,109.7526,100.2548
24 Aug 2027,105.581,82.8864,127.0094,109.8042,100.3019
25 Aug 2027,105.597,82.9784,126.9308,109.8209,100.3172
26 Aug 2027,105.5659,82.8629,127.4711,109.7886,100.2876
27 Aug 2027,105.5115,82.4992,127.3285,109.7319,100.2359
30 Aug 2027,105.5775,82.4232,127.3371,109.8005,100.2986
31 Aug 2027,105.6514,82.412,127.7127,109.8775,100.3689
01 Sep 2027,105.6803,82.5309,127.7942,109.9075,100.3962
02 Sep 2027,105.6513,82.3819,127.7313,109.8773,100.3687
03 Sep 2027,105.5934,82.2653,127.817,109.8172,100.3138
06 Sep 2027,105.5867,82.2793,127.7059,109.8102,100.3074
07 Sep 2027,105.6279,82.0578,127.9923,109.853,100.3465
08 Sep 2027,105.6549,81.9757,128.1498,109.8811,100.3722
09 Sep 2027,105.6685,81.7895,128.4134,109.8953,100.3851
10 Sep 2027,105.6823,81.8797,128.7084,109.9096,100.3982
13 Sep 2027,105.7436,81.9727,128.5054,109.9733,100.4564
14 Sep 2027,105.747,81.8644,128.7667,109.9769,100.4596
15 Sep 2027,105.7498,81.8796,128.9784,109.9798,100.4623
16 Sep 2027,105.7648,81.8956,128.8859,109.9954,100.4765
17 Sep 2027,105.7921,81.9145,128.9401,110.0237,100.5025
20 Sep 2027,105.8473,81.8742,129.0095,110.0812,100.555
21 Sep 2027,105.875,81.5828,129.4618,110.11,100.5812
22 Sep 2027,105.9321,81.6346,129.5031,110.1694,100.6355
23 Sep 2027,106.0074,81.8059,129.6981,110.2477,100.707
24 Sep 2027,106.0674,81.8422,130.0107,110.3101,100.7641
27 Sep 2027,106.0398,81.3608,129.9046,110.2814,100.7379
28 Sep 2027,106.0619,81.4532,130.137,110.3044,100.7588
29 Sep 2027,106.1417,81.3668,130.3399,110.3874,100.8346
30 Sep 2027,106.2483,81.6873,130.4625,110.4982,100.9358
01 Oct 2027,106.3293,81.401,130.495,110.5825,101.0128
04 Oct 2027,106.2865,81.2626,130.363,110.538,100.9722
05 Oct 2027,106.2805,81.4087,130.5093,110.5317,100.9665
06 Oct 2027,106.3138,81.2836,130.8533,110.5663,100.9981
07 Oct 2027,106.3651,81.1316,131.0452,110.6197,101.0468
08 Oct 2027,106.4067,81.305,131.1397,110.6629,101.0863
11 Oct 2027,106.4513,81.1825,131.3122,110.7093,101.1287
12 Oct 2027,106.4671,80.8446,131.3927,110.7258,101.1437
13 Oct 2027,106.4754,80.8343,131.5173,110.7344,101.1516
14 Oct 2027,106.4679,80.9153,131.4037,110.7266,101.1445
15 Oct 2027,106.4499,80.4632,131.7551,110.7079,101.1274
18 Oct 2027,106.4349,80.4502,131.6292,110.6923,101.1131
19 Oct 2027,106.4279,80.6725,132.1039,110.685,101.1065
20 Oct 2027,106.4092,80.3584,131.8444,110.6656,101.0888
21 Oct 2027,106.3943,80.3449,132.1723,110.6501,101.0746
22 Oct 2027,106.4037,80.1864,132.1727,110.6598,101.0835
25 Oct 2027,106.4871,79.7842,132.2951,110.7466,101.1628
26 Oct 2027,106.449,80.0476,132.2998,110.7069,101.1265
27 Oct 2027,106.3891,79.7716,132.4819,110.6446,101.0696
28 Oct 2027,106.3545,79.8533,132.5014,110.6087,101.0368
29 Oct 2027,106.3785,79.6229,132.6688,110.6336,101.0596
01 Nov 2027,106.5585,79.519,132.8137,110.8208,101.2305
02 Nov 2027,106.5311,79.7945,132.8948,110.7923,101.2045
03 Nov 2027,106.4745,79.701,133.1593,110.7334,101.1507
04 Nov 2027,106.4339,79.8219,133.0555,110.6913,101.1122
05 Nov 2027,106.4356,79.336,133.0647,110.693,101.1138
08 Nov 2027,106.538,79.0562,133.2448,110.7995,101.2111
09 Nov 2027,106.5486,79.4144,133.3524,110.8106,101.2212
10 Nov 2027,106.5581,79.2454,133.6329,110.8204,101.2302
11 Nov 2027,106.5745,79.3909,133.5562,110.8375,101.2458
12 Nov 2027,106.5918,78.8508,133.8602,110.8555,101.2622
15 Nov 2027,106.5847,79.0875,133.7692,110.8481,101.2554
16 Nov 2027,106.5889,78.7507,133.9351,110.8524,101.2594
17 Nov 2027,106.6054,78.7611,134.1494,110.8696,101.2752
18 Nov 2027,106.622,78.7976,134.4157,110.8868,101.2909
19 Nov 2027,106.6283,78.6126,134.3938,110.8934,101.2968
22 Nov 2027,106.7038,78.5435,134.5466,110.972,101.3687
